from;to;length;latFrom;lonFrom;latTo;lonTo;surface
24543;24653;88.95504482602435;49.893522;14.286709;49.893907;14.287794;1.7791008965204869
16354;16366;395.9465510664809;49.895085;14.397575;49.895727;14.400535;7.918931021329618
23297;63268;536.3715833285629;50.010096;14.324463;50.013332;14.319132;10.727431666571258
25295;1355;14.142135623730951;50.001661;14.347658;50.001655;14.347855;0.1414213562373095
23297;63290;163.255346890433;50.010096;14.324463;50.010653;14.326524;4.8976604067129905
57314;57319;37.00201236849716;49.965538;14.072315;49.965692;14.072771;0.7400402473699432
57316;57310;88.56360246354988;49.965633;14.073008;49.965236;14.071947;1.7712720492709977
50628;2475;86.97700845625813;49.991221;14.034316;49.990764;14.035292;1.7395401691251626
56657;77726;59.033888572581766;50.021101;14.369223;50.021194;14.370026;1.1806777714516352
59085;2493;46.462654387484726;50.019806;14.232497;50.019689;14.233108;0.46462654387484725
24545;24643;109.48972554536796;49.895131;14.28648;49.896118;14.286514;2.189794510907359
65476;66547;9.055385138137417;49.916293;14.238503;49.916213;14.238526;0.18110770276274835
65476;66548;9.0;49.916293;14.238503;49.916304;14.238622;0.18
57316;57321;7.211102550927978;49.965633;14.073008;49.965683;14.072948;0.14422205101855956
57316;57318;8.94427190999916;49.965633;14.073008;49.96568;14.07311;0.17888543819998318
57780;42934;18.384776310850235;49.952665;14.240258;49.952498;14.240191;0.3676955262170047
57318;57316;8.94427190999916;49.96568;14.07311;49.965633;14.073008;0.17888543819998318
57319;57314;37.00201236849716;49.965692;14.072771;49.965538;14.072315;0.7400402473699432
41217;32214;133.82275103303454;50.013652;14.377728;50.014228;14.376089;2.6764550206606907
24551;24558;76.24128893549717;49.894896;14.29019;49.895359;14.290953;1.5248257787099433
7087;41662;5.385164807134504;49.93895;14.236357;49.938931;14.236279;0.053851648071345036
65477;66552;8.0;49.916558;14.238426;49.916629;14.238406;0.16
57319;57322;10.770329614269007;49.965692;14.072771;49.965734;14.072899;0.21540659228538014
24683;20474;87.02298546935747;49.880529;14.341;49.880625;14.342208;1.7404597093871492
57319;57320;1.4142135623730951;49.965692;14.072771;49.965682;14.072768;0.0282842712474619
57321;57316;7.211102550927978;49.965683;14.072948;49.965633;14.073008;0.14422205101855956
57321;57298;158.5621853060478;49.965683;14.072948;49.965017;14.070987;3.171243706120956
57320;57319;1.4142135623730951;49.965682;14.072768;49.965692;14.072771;0.0282842712474619
57322;57319;10.770329614269007;49.965734;14.072899;49.965692;14.072771;0.21540659228538014
24551;24624;32.4343423397943;49.894896;14.29019;49.894864;14.28975;0.648686846795886
24553;24558;276.68262953538533;49.896;14.287435;49.895359;14.290953;5.533652590707707
32745;32746;8.48528137423857;49.952913;14.367936;49.952961;14.367841;0.1697056274847714
32745;32749;36.751063885565586;49.952913;14.367936;49.953061;14.368401;0.7350212777113118
31998;55907;223.63427942694432;49.956051;14.372771;49.954132;14.373368;4.472685588538886
57321;57322;6.324555320336759;49.965683;14.072948;49.965734;14.072899;0.1264911064067352
32746;32745;8.48528137423857;49.952961;14.367841;49.952913;14.367936;0.1697056274847714
7090;41669;33.421549934136806;49.939442;14.238054;49.939645;14.237714;0.6684309986827361
50199;16002;43.320836374244294;49.91041;14.290942;49.91012;14.291346;0.8664167274848859
31448;72988;71.24686690197241;49.973564;14.167231;49.973421;14.167989;1.424937338039448
