from;to;length;latFrom;lonFrom;latTo;lonTo;surface
32738;32739;6.324555320336759;49.904313;14.394073;49.904359;14.394034;0.1264911064067352
57314;57320;5.0;49.913833;14.075327;49.913874;14.075287;0.1
66131;46192;212.15613083276097;49.923703;14.310861;49.923551;14.307968;4.243122616655219
24819;16127;161.9917105857355;49.911996;14.299459;49.912882;14.301233;3.23983421171471
24819;16122;144.04856820363966;49.911996;14.299459;49.912637;14.297859;2.8809713640727934
24550;24463;124.20114977458064;49.890323;14.326964;49.89023;14.325257;2.4840229954916127
32739;32738;6.324555320336759;49.904359;14.394034;49.904313;14.394073;0.1264911064067352
41289;29838;4.47213595499958;50.011584;14.384364;50.011622;14.384389;0.08944271909999159
16351;16504;305.5032016471542;49.898426;14.258838;49.900764;14.257026;6.110064032943083
16083;24815;149.80986527456758;49.910799;14.298001;49.910653;14.296281;2.9961973054913518
40931;40940;361.261512906754;49.955919;14.316242;49.953659;14.312745;7.225230258135079
24551;24456;114.09655340136601;49.888919;14.324781;49.88804;14.324515;2.2819310680273204
16358;16322;368.8305070368097;49.898879;14.261188;49.897628;14.265825;7.376610140736194
24551;24474;37.21146914276338;49.888919;14.324781;49.889088;14.324358;0.7442293828552675
24552;24456;25.495097567963924;49.887811;14.324491;49.88804;14.324515;0.5099019513592785
41291;29839;37.95851847557427;50.011605;14.386253;50.011721;14.386725;0.7591703695114854
16358;16351;178.23503716092935;49.898879;14.261188;49.898426;14.258838;3.564700743218587
15856;31903;41.68472356036817;50.016457;14.147573;50.016535;14.148119;0.8336944712073634
24552;24501;84.55156847963298;49.887811;14.324491;49.887051;14.324426;1.6910313695926595
57320;57314;5.0;49.913874;14.075287;49.913833;14.075327;0.1
65510;65523;76.95547006440172;50.014106;14.328342;50.014677;14.328042;1.5391094012880344
65510;65524;320.2908370125239;50.014106;14.328342;50.014677;14.332033;6.405816740250478
57320;57301;30.112745081186688;49.913874;14.075287;49.913779;14.07498;0.6022549016237337
24551;24580;113.9135031918432;49.888919;14.324781;49.888643;14.326274;2.2782700638368643
14514;73581;170.63818434589413;49.922736;14.296257;49.923637;14.294418;5.119145530376824
14515;73581;196.48819355750973;49.92377;14.297099;49.923637;14.294418;3.9297638711501945
57859;40619;594.2148400891081;49.982443;14.399335;49.98755;14.401788;5.942148400891081
16088;24809;24.20743687382041;49.910057;14.298795;49.910211;14.298553;0.4841487374764082
6666;54766;394.1674840504607;49.882908;14.149495;49.886338;14.149512;7.883349681009214
16050;26007;816.2711849225644;49.913233;14.260372;49.91317;14.254775;16.32542369845129
15286;49692;16.499654346573404;49.87708;14.262076;49.877225;14.262099;0.32999308693146806
8170;8158;406.9149409679827;49.97603;14.401507;49.973703;14.399328;8.138298819359655
57320;57358;69.71046246533311;49.913874;14.075287;49.914052;14.074459;1.3942092493066622
